index,file,burn_elapsed_minutes,project_progress,source_frame,source_time_seconds
1,incense_45min_01_progress_0000.png,0.000000,0.000000,0,0.000000
2,incense_45min_02_progress_0034.png,1.551724,0.034483,12,0.400000
3,incense_45min_03_progress_0069.png,3.103448,0.068966,23,0.766667
4,incense_45min_04_progress_0103.png,4.655172,0.103448,35,1.166667
5,incense_45min_05_progress_0138.png,6.206897,0.137931,47,1.566667
6,incense_45min_06_progress_0172.png,7.758621,0.172414,58,1.933333
7,incense_45min_07_progress_0207.png,9.310345,0.206897,70,2.333333
8,incense_45min_08_progress_0241.png,10.862069,0.241379,82,2.733333
9,incense_45min_09_progress_0276.png,12.413793,0.275862,94,3.133333
10,incense_45min_10_progress_0310.png,13.965517,0.310345,105,3.500000
11,incense_45min_11_progress_0345.png,15.517241,0.344828,117,3.900000
12,incense_45min_12_progress_0379.png,17.068966,0.379310,129,4.300000
13,incense_45min_13_progress_0414.png,18.620690,0.413793,140,4.666667
14,incense_45min_14_progress_0448.png,20.172414,0.448276,152,5.066667
15,incense_45min_15_progress_0483.png,21.724138,0.482759,164,5.466667
16,incense_45min_16_progress_0517.png,23.275862,0.517241,175,5.833333
17,incense_45min_17_progress_0552.png,24.827586,0.551724,187,6.233333
18,incense_45min_18_progress_0586.png,26.379310,0.586207,199,6.633333
19,incense_45min_19_progress_0621.png,27.931034,0.620690,210,7.000000
20,incense_45min_20_progress_0655.png,29.482759,0.655172,222,7.400000
21,incense_45min_21_progress_0690.png,31.034483,0.689655,234,7.800000
22,incense_45min_22_progress_0724.png,32.586207,0.724138,245,8.166667
23,incense_45min_23_progress_0759.png,34.137931,0.758621,257,8.566667
24,incense_45min_24_progress_0793.png,35.689655,0.793103,269,8.966667
25,incense_45min_25_progress_0828.png,37.241379,0.827586,281,9.366667
26,incense_45min_26_progress_0862.png,38.793103,0.862069,292,9.733333
27,incense_45min_27_progress_0897.png,40.344828,0.896552,304,10.133333
28,incense_45min_28_progress_0931.png,41.896552,0.931034,316,10.533333
29,incense_45min_29_progress_0966.png,43.448276,0.965517,327,10.900000
30,incense_45min_30_progress_1000.png,45.000000,1.000000,339,11.300000
